ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2022-09-01 00:20:57,2022-09-01 00:22:10,73.000,142.250.184.46,157.138.110.176,443,52556,TCP,...AP...,0,0,187,29372,0,0,9,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,4,2022-09-01 00:22:04.783
2022-09-01 00:20:58,2022-09-01 00:20:58,0.000,130.186.81.138,157.138.101.232,5555,9469,TCP,...AP...,0,0,27,6741,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:14.328
2022-09-01 00:20:59,2022-09-01 00:20:59,0.000,142.250.184.46,157.138.117.3,443,53168,UDP,........,0,0,31,3675,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.063
2022-09-01 00:20:59,2022-09-01 00:20:59,0.000,37.161.142.71,157.138.7.91,6905,80,TCP,...APRSF,0,0,518,27024,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:08.140
2022-09-01 00:20:59,2022-09-01 00:20:59,0.000,34.120.4.185,157.138.12.155,443,58384,TCP,...AP...,0,0,8,964,0,0,9,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,4,2022-09-01 00:22:04.775
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,142.251.209.14,157.138.5.150,443,48532,TCP,...AP...,0,0,97,14976,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:08.207
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,142.250.180.138,157.138.11.28,443,50149,TCP,...AP...,0,0,17,1321,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.389
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,192.146.155.81,157.138.7.133,443,40704,TCP,...AP.SF,0,0,19,4901,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:14.342
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,52.38.222.114,157.138.80.96,80,65219,TCP,...AP...,0,0,16,4210,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.034
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,162.247.241.14,157.138.24.107,443,52285,TCP,...AP.S.,0,0,14,1872,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.393
