ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2022-08-31 14:55:37,2022-08-31 14:55:37,0.000,146.75.62.217,157.138.167.246,443,54170,TCP,...AP..F,0,0,6,425,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.895
2022-08-31 14:55:37,2022-08-31 14:55:37,0.000,157.240.231.61,157.138.167.146,5222,51267,TCP,...AP.SF,0,0,21,1926,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.855
2022-08-31 14:55:39,2022-08-31 14:55:39,0.000,15.236.176.210,157.138.23.26,443,61057,TCP,...AP.SF,0,0,16,5375,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.952
2022-08-31 14:55:39,2022-08-31 14:55:39,0.000,173.194.79.108,157.138.187.200,993,52464,TCP,...AP.SF,0,0,23,3668,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.806
2022-08-31 14:55:39,2022-08-31 14:55:39,0.000,13.89.178.26,157.138.186.125,443,57967,TCP,...A.R..,0,0,2,106,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.889
2022-08-31 14:55:40,2022-08-31 14:55:40,0.000,157.240.231.16,157.138.184.79,443,40704,TCP,...AP..F,0,0,11,772,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.943
2022-08-31 14:55:40,2022-08-31 14:55:40,0.000,142.250.180.138,157.138.24.107,443,49970,TCP,...AP...,0,0,21,10397,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.782
2022-08-31 14:55:41,2022-08-31 14:55:41,0.000,142.250.184.42,157.138.110.129,443,55126,TCP,...AP..F,0,0,24,3024,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.835
2022-08-31 14:55:41,2022-08-31 14:55:41,0.000,35.186.228.49,157.138.22.6,443,51278,TCP,...AP.SF,0,0,10,6531,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.787
2022-08-31 14:55:41,2022-08-31 14:55:41,0.000,194.95.188.49,157.138.179.84,443,49711,TCP,...A..SF,0,0,6,344,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.850
2022-08-31 14:55:41,2022-08-31 14:55:41,0.000,23.1.69.230,157.138.110.111,443,34374,TCP,...AP.S.,0,0,34,40056,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.811
2022-08-31 14:55:42,2022-08-31 14:55:42,0.000,64.62.197.77,157.138.22.14,57902,2000,TCP,......S.,0,0,6,384,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.909
2022-08-31 14:55:42,2022-08-31 14:55:42,0.000,54.229.88.153,157.138.165.221,443,50850,TCP,...A.R.F,0,0,3,162,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.825
2022-08-31 14:55:42,2022-08-31 14:55:42,0.000,91.228.166.46,157.138.107.73,80,61476,TCP,...AP.SF,0,0,6,2849,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.889
2022-08-31 14:55:43,2022-08-31 14:55:43,0.000,142.250.180.170,157.138.164.245,443,55124,TCP,...AP..F,0,0,3,223,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.850
2022-08-31 14:55:43,2022-08-31 14:55:43,0.000,184.105.247.254,157.138.22.199,13920,2000,TCP,........,0,0,6,384,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.952
2022-08-31 14:55:44,2022-08-31 14:55:44,0.000,13.89.179.9,157.138.187.200,443,54013,TCP,...AP.S.,0,2,9,7203,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.782
2022-08-31 14:55:44,2022-08-31 14:55:44,0.000,216.239.34.36,157.138.167.148,443,51551,TCP,...AP.S.,0,0,18,6823,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.870
2022-08-31 14:55:45,2022-08-31 14:55:45,0.000,51.11.118.111,157.138.167.164,443,51053,TCP,...AP.SF,0,0,14,11202,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.943
2022-08-31 14:55:45,2022-08-31 14:55:45,0.000,142.250.184.35,157.138.167.94,443,59876,UDP,........,0,0,9,3215,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.870
2022-08-31 14:55:45,2022-08-31 14:55:45,0.000,142.250.184.106,157.138.166.156,443,38088,TCP,...AP.S.,0,0,11,1858,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.840
2022-08-31 14:55:45,2022-08-31 14:55:45,0.000,20.42.72.131,157.138.167.139,443,61733,TCP,...AP...,0,0,3,621,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.952
2022-08-31 14:55:45,2022-08-31 14:55:45,0.000,13.69.48.193,157.138.165.176,443,58560,TCP,...A.R..,0,0,2,106,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.860
2022-08-31 14:55:46,2022-08-31 14:55:46,0.000,52.98.168.178,157.138.165.200,443,64072,TCP,...AP.S.,0,2,8,7041,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.909
2022-08-31 14:55:46,2022-08-31 14:55:46,0.000,216.58.209.37,157.138.186.125,443,57841,TCP,...AP...,0,0,39,19654,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.830
2022-08-31 14:55:46,2022-08-31 14:55:46,0.000,208.83.137.118,157.138.20.12,2703,57780,TCP,...APRS.,0,0,6,529,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.933
2022-08-31 14:55:47,2022-08-31 14:55:47,0.000,35.186.228.49,157.138.22.6,443,42324,TCP,...AP.SF,0,0,10,6310,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.787
2022-08-31 14:55:47,2022-08-31 14:55:47,0.000,18.66.218.90,157.138.12.93,443,63878,TCP,...AP..F,0,0,5,307,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.933
2022-08-31 14:55:47,2022-08-31 14:55:47,0.000,157.240.231.15,157.138.166.6,443,46111,UDP,........,0,0,11,5574,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.778
2022-08-31 14:55:47,2022-08-31 14:55:47,0.000,142.250.180.142,157.138.167.3,443,55148,UDP,........,0,0,23,5405,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.787
2022-08-31 14:55:47,2022-08-31 14:55:47,0.000,157.240.231.60,157.138.110.26,443,51695,TCP,...AP...,0,0,4,464,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-08-31 14:57:01.860
