sp   ,dp   ,pr,fwd,stos,ipkt ,ibyt    ,opkt,obyt,sas,das,dtos,dir,ts_month,ts_day,ts_hour,ts_minute,ts_second,ts_msecond,te_month,te_day,te_hour,te_minute,te_second,te_msecond,tr_month,tr_day,tr_hour,tr_minute,tr_second,tr_msecond,sa1,sa2,sa3,sa4,da1,da2,da3,da4,flg_ACK,flg_PSH,flg_RST,flg_SYN,flg_FIN,sp_is_privileged,dp_is_privileged
443  ,49970,1 ,0  ,0   ,21   ,10397   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,40       ,0         ,8       ,31    ,14     ,55       ,40       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,138,157,138,24 ,107,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,55126,1 ,0  ,0   ,24   ,3024    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,42 ,157,138,110,129,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,51278,1 ,0  ,0   ,10   ,6531    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,35 ,186,228,49 ,157,138,22 ,6  ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,49711,1 ,0  ,0   ,6    ,344     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,194,95 ,188,49 ,157,138,179,84 ,1      ,0      ,0      ,1      ,1      ,1               ,0
443  ,34374,1 ,0  ,0   ,34   ,40056   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,55       ,41       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,23 ,1  ,69 ,230,157,138,110,111,1      ,1      ,0      ,1      ,0      ,1               ,0
57902,2000 ,1 ,0  ,0   ,6    ,384     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,64 ,62 ,197,77 ,157,138,22 ,14 ,0      ,0      ,0      ,1      ,0      ,0               ,0
443  ,50850,1 ,0  ,0   ,3    ,162     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,54 ,229,88 ,153,157,138,165,221,1      ,0      ,1      ,0      ,1      ,1               ,0
80   ,61476,1 ,0  ,0   ,6    ,2849    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,55       ,42       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,91 ,228,166,46 ,157,138,107,73 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,55124,1 ,0  ,0   ,3    ,223     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,43       ,0         ,8       ,31    ,14     ,55       ,43       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,170,157,138,164,245,1      ,1      ,0      ,0      ,1      ,1               ,0
13920,2000 ,1 ,0  ,0   ,6    ,384     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,43       ,0         ,8       ,31    ,14     ,55       ,43       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,184,105,247,254,157,138,22 ,199,0      ,0      ,0      ,0      ,0      ,0               ,0
