,stos,tr_minute,sa1,flg_ACK,tr_month,ts_msecond,te_minute,tr_msecond,obyt,pr,te_second,sa4,tr_hour,sp   ,flg_PSH,tr_second,sa3,da1,ipkt ,dir,te_hour,sa2,flg_SYN,flg_FIN,ts_second,opkt,fwd,da2,outlier,da3,te_day,te_month,flg_RST,te_msecond,ts_month,tr_day,ibyt    ,das,ts_minute,ts_day,da4,ts_hour,sas,sp_is_privileged,dp_is_privileged,dp   ,dtos
30,0,57,142,0,8,0,55,0,0,2,45,35,14,443,0,1,184,157,9,0,14,250,0,0,45,0,0,138,0,167,31,8,0,0,8,31,3215,0,55,31,94,14,0,1,0,59876,0
31,0,57,142,1,8,0,55,0,0,1,45,106,14,443,1,1,184,157,11,0,14,250,1,0,45,0,0,138,0,166,31,8,0,0,8,31,1858,0,55,31,156,14,0,1,0,38088,0
32,0,57,20,1,8,0,55,0,0,1,45,131,14,443,1,1,72,157,3,0,14,42,0,0,45,0,0,138,0,167,31,8,0,0,8,31,621,0,55,31,139,14,0,1,0,61733,0
33,0,57,13,1,8,0,55,0,0,1,45,193,14,443,0,1,48,157,2,0,14,69,0,0,45,0,0,138,0,165,31,8,1,0,8,31,106,0,55,31,176,14,0,1,0,58560,0
34,2,57,52,1,8,0,55,0,0,1,46,178,14,443,1,1,168,157,8,0,14,98,1,0,46,0,0,138,0,165,31,8,0,0,8,31,7041,0,55,31,200,14,0,1,0,64072,0
35,0,57,216,1,8,0,55,0,0,1,46,37,14,443,1,1,209,157,39,0,14,58,0,0,46,0,0,138,0,186,31,8,0,0,8,31,19654,0,55,31,125,14,0,1,0,57841,0
36,0,57,208,1,8,0,55,0,0,1,46,118,14,2703,1,1,137,157,6,0,14,83,1,0,46,0,0,138,0,20,31,8,1,0,8,31,529,0,55,31,12,14,0,0,0,57780,0
37,0,57,35,1,8,0,55,0,0,1,47,49,14,443,1,1,228,157,10,0,14,186,1,1,47,0,0,138,0,22,31,8,0,0,8,31,6310,0,55,31,6,14,0,1,0,42324,0
38,0,57,18,1,8,0,55,0,0,1,47,90,14,443,1,1,218,157,5,0,14,66,0,1,47,0,0,138,0,12,31,8,0,0,8,31,307,0,55,31,93,14,0,1,0,63878,0
39,0,57,157,0,8,0,55,0,0,2,47,15,14,443,0,1,231,157,11,0,14,240,0,0,47,0,0,138,0,166,31,8,0,0,8,31,5574,0,55,31,6,14,0,1,0,46111,0
40,0,57,142,0,8,0,55,0,0,2,47,142,14,443,0,1,180,157,23,0,14,250,0,0,47,0,0,138,0,167,31,8,0,0,8,31,5405,0,55,31,3,14,0,1,0,55148,0
41,0,57,157,1,8,0,55,0,0,1,47,60,14,443,1,1,231,157,4,0,14,240,0,0,47,0,0,138,0,110,31,8,0,0,8,31,464,0,55,31,26,14,0,1,0,51695,0
42,0,57,142,1,8,0,55,0,0,1,48,100,14,443,1,1,10,157,3,0,14,251,0,1,48,0,0,138,0,12,31,8,0,0,8,31,223,0,55,31,38,14,0,1,0,54694,0
43,0,57,142,0,8,0,55,0,0,2,48,106,14,443,0,1,184,157,9,0,14,250,0,0,48,0,0,138,0,176,31,8,0,0,8,31,2916,0,55,31,181,14,0,1,0,60836,0
44,0,57,20,1,8,0,55,0,0,1,48,64,14,443,1,1,130,157,10,0,14,73,1,1,48,0,0,138,0,24,31,8,0,0,8,31,8419,0,55,31,32,14,0,1,0,53030,0
45,4,57,17,1,8,0,55,0,0,1,48,6,14,443,1,1,248,157,18,0,14,248,1,0,48,0,0,138,0,185,31,8,0,0,8,31,10703,0,55,31,31,14,0,1,0,53772,0
46,8,57,35,1,8,0,55,0,0,1,48,78,14,443,1,1,207,157,13,0,14,212,1,0,48,0,0,138,0,166,31,8,0,0,8,31,5624,0,55,31,254,14,0,1,0,64581,0
47,0,57,13,1,8,0,55,0,0,1,48,12,14,443,1,1,42,157,14,0,14,107,1,0,48,0,0,138,0,178,31,8,0,0,8,31,5549,0,55,31,37,14,0,1,0,62456,0
48,2,57,194,1,8,0,55,0,0,1,49,49,14,443,1,1,188,157,14,0,14,95,1,1,49,0,0,138,0,179,31,8,0,0,8,31,9771,0,55,31,84,14,0,1,0,49713,0
49,0,57,142,0,8,0,55,0,0,2,49,34,14,443,0,1,184,157,74,0,14,250,0,0,49,0,0,138,0,179,31,8,0,0,8,31,85557,0,55,31,110,14,0,1,0,59695,0
50,0,57,20,1,8,0,55,0,0,1,49,195,14,443,1,1,201,157,14,0,14,50,1,0,49,0,0,138,0,177,31,8,0,0,8,31,8376,0,55,31,66,14,0,1,0,54855,0
51,0,57,216,1,8,0,55,0,0,1,49,54,14,443,1,1,209,157,18,0,14,58,1,0,49,0,0,138,0,179,31,8,0,0,8,31,10783,0,55,31,0,14,0,1,0,50291,0
52,0,57,142,1,8,0,55,0,0,1,49,142,14,443,1,1,180,157,3,0,14,250,0,1,49,0,0,138,0,35,31,8,0,0,8,31,223,0,55,31,213,14,0,1,0,56941,0
53,0,57,92,1,8,0,55,0,0,1,49,35,14,443,1,1,113,157,6,0,14,123,0,1,49,0,0,138,0,24,31,8,1,0,8,31,381,0,55,31,107,14,0,1,0,49962,0
54,0,57,106,1,8,0,55,0,0,1,49,66,14,8814,1,1,158,157,5,0,14,57,1,1,49,0,0,138,0,20,31,8,0,0,8,31,582,0,55,31,11,14,0,0,1,80,0
55,0,57,142,1,8,0,55,0,0,1,49,106,14,443,1,1,184,157,41,0,14,250,0,0,49,0,0,138,0,71,31,8,0,0,8,31,2996,0,55,31,90,14,0,1,0,55509,0
56,2,57,23,1,8,0,55,0,0,1,50,22,14,443,1,1,106,157,4,0,14,12,0,0,50,0,0,138,0,165,31,8,0,0,8,31,661,0,55,31,200,14,0,1,0,64077,0
57,0,57,52,1,8,0,55,0,0,1,50,132,14,443,1,1,194,157,26,0,14,113,1,1,50,0,0,138,0,167,31,8,0,0,8,31,9792,0,55,31,152,14,0,1,0,51136,0
58,0,57,20,1,8,0,55,0,0,1,50,122,14,443,1,1,10,157,10,0,14,44,1,1,50,0,0,138,0,138,31,8,0,0,8,31,5442,0,55,31,137,14,0,1,0,61181,0
59,0,57,20,1,8,0,55,0,0,1,50,12,14,443,1,1,173,157,12,0,14,189,1,1,50,0,0,138,0,138,31,8,0,0,8,31,5922,0,55,31,137,14,0,1,0,61180,0
60,4,57,17,1,8,0,55,0,0,1,50,32,14,993,0,1,251,157,9,0,14,42,0,1,50,0,0,138,0,167,31,8,0,0,8,31,504,0,55,31,22,14,0,1,0,59925,0
61,0,57,13,1,8,0,55,0,0,1,50,12,14,443,1,1,42,157,6,0,14,107,0,0,50,0,0,138,0,106,31,8,0,0,8,31,1238,0,55,31,30,14,0,1,0,61225,0
62,0,57,142,1,8,0,55,0,0,1,51,37,14,443,1,1,184,157,16,0,14,250,0,0,51,0,0,138,0,164,31,8,0,0,8,31,1982,0,55,31,71,14,0,1,0,50444,0
63,0,57,157,1,8,0,55,0,0,1,51,60,14,443,1,1,231,157,10,0,14,240,0,0,51,0,0,138,0,165,31,8,0,0,8,31,1104,0,55,31,233,14,0,1,0,53497,0
64,4,57,17,1,8,0,55,0,0,1,51,43,14,443,1,1,248,157,17,0,14,248,1,1,51,0,0,138,0,185,31,8,0,0,8,31,8862,0,55,31,31,14,0,1,0,53776,0
65,4,57,17,1,8,0,55,0,0,1,51,43,14,443,1,1,248,157,17,0,14,248,1,1,51,0,0,138,0,185,31,8,0,0,8,31,8863,0,55,31,31,14,0,1,0,53775,0
66,0,57,35,1,8,0,55,0,0,1,51,82,14,443,1,1,56,157,11,0,14,190,1,1,51,0,0,138,0,184,31,8,0,0,8,31,4790,0,55,31,70,14,0,1,0,50439,0
67,0,57,34,1,8,0,55,0,0,1,51,77,14,443,1,1,243,157,10,0,14,120,1,1,51,0,0,138,0,184,31,8,0,0,8,31,4740,0,55,31,70,14,0,1,0,50441,0
68,0,57,74,0,8,0,55,0,0,1,51,2,14,7294,0,1,47,157,6,0,14,82,1,0,51,0,0,138,0,20,31,8,0,0,8,31,384,0,55,31,223,14,0,0,0,2000,0
69,0,57,64,0,8,0,55,0,0,1,51,167,14,51366,0,1,197,157,6,0,14,62,1,0,51,0,0,138,0,28,31,8,0,0,8,31,384,0,55,31,244,14,0,0,0,2000,0
70,0,57,34,1,8,0,55,0,0,1,51,77,14,443,1,1,243,157,11,0,14,120,1,1,51,0,0,138,0,184,31,8,0,0,8,31,4796,0,55,31,70,14,0,1,0,50438,0
71,4,57,17,1,8,0,55,0,0,1,51,43,14,443,1,1,248,157,17,0,14,248,1,1,51,0,0,138,0,185,31,8,0,0,8,31,8862,0,55,31,31,14,0,1,0,53777,0
72,0,57,23,1,8,0,55,0,0,1,51,61,14,443,1,1,76,157,7,0,14,1,0,1,51,0,0,138,0,166,31,8,1,0,8,31,392,0,55,31,136,14,0,1,0,57878,0
73,0,57,74,1,8,0,55,0,0,1,51,189,14,443,1,1,200,157,19,0,14,125,0,0,51,0,0,138,0,165,31,8,0,0,8,31,5387,0,55,31,103,14,0,1,0,62781,0
74,0,57,34,1,8,0,55,0,0,1,51,227,14,443,1,1,211,157,9,0,14,149,1,1,51,0,0,138,0,184,31,8,0,0,8,31,4714,0,55,31,70,14,0,1,0,50437,0
