,0,1,2,3,4,5,6,7,outlier
825,-70712.2440165764,22793.46683174298,6714.333774504794,-17.367380984216762,47.649128348725206,-16.93255585820817,-13.134418264583903,-50.877406269610795,0
933,-70726.5123500593,36127.85172519864,15158.380130280517,138.5299281495188,-96.12809890996222,-25.59123170763453,8.250545420558748,33.567262462828744,0
976,-70728.69939447302,38367.82458889646,2478.6011920357782,109.0244345917409,88.73872470252446,24.57213793480002,-14.14879465716428,10.584136896752623,0
838,-70720.73593065084,31838.938074163885,21037.742250188825,148.7742870449196,-94.74491353702007,-32.483095094825835,7.012715038294277,23.070970630392083,0
891,-70710.4155237344,26270.752346090238,-3988.3332636939185,119.28179994684963,-110.80716431142329,-2.783479275692806,7.640069646802607,50.06689513037631,0
926,-70642.83764790701,-19885.319041254385,-3378.1032207992894,-13.927229086505372,-19.587016530904595,73.30562079572985,-17.809083719892918,-104.91629311881891,0
905,-70728.55216633853,38454.57696811601,-694.9846524305738,116.38310073587597,-103.79062826839623,-6.840254884558264,9.771864810574607,54.93344289595414,0
655,-70726.9471107422,31952.95907265032,21566.000089685756,-51.787775688155385,-13.102496766400415,-97.43851812404426,0.042322031442243724,-58.96249840006635,0
818,-70734.47195881605,41762.93967463005,11716.15157897037,119.11908716884027,95.24681655235806,13.604050709063308,-14.128763046754473,1.56851305913542,0
944,-70734.18466303867,41552.84126781306,11956.090788443265,129.03543484010135,-61.51338373773158,-15.767792886843608,5.3910466074221866,34.59163483288103,0
918,-70736.43459949894,43095.86493160276,11827.637454494972,118.90639490589237,88.32194576534393,12.122599023292576,-12.008864602792793,7.106273691426754,0
469,-70720.27436939484,27997.036146700302,11419.275764105569,-96.6798581833216,36.922938433015766,44.972768351110325,-17.01138791267468,-81.29769951244614,0
856,-70642.8765750975,-19860.672021010265,-3353.3831278497414,90.80843204561553,0.7151507854076018,9.737150588608232,-12.041360942187925,-69.15155237664061,0
819,-70642.86566396915,-19867.69927740658,-3360.4977149574656,90.80327170129506,0.7082554343297354,9.745668445781853,-12.042237953028078,-69.14789293201972,0
755,-70593.83601041292,26064.497849264164,-30345.434690460264,18.18883308751499,-93.28214212633185,-55.46459017062881,16.538059895726963,11.08569963107821,0
913,-70593.80180225671,26039.609695342107,-30320.930795634,10.15321563687207,38.54218950343597,-31.918266119454486,0.3453511421738079,-16.47263904769577,0
901,-70732.23771492591,41190.94758169658,-4444.92604386835,107.76289727720422,-70.62644039282218,3.6662329861099052,6.429833300705115,54.661843770575466,0
491,-70768.23648907205,61651.34493404524,-4217.316211457792,22.478303734277752,5.973082591120003,31.553876466844663,-2.8790513647249454,126.49851534680273,0
795,-70764.59019588742,58960.78914434683,-779.7455377265044,-68.84221478445268,43.134230831752916,88.6519540111599,-8.12948439130839,-133.45431577034833,0
